Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
Your Time Is Gonna Come,4:34,Led Zeppelin,4/1/2019,80,12/28/2020,1,8/13/2019
Peaceful Easy Feeling,4:18,Eagles,1/26/2019,79,1/8/2021,7,1/2/2021
The Ocean (Live Madison Square Garden 1973),4:18,Led Zeppelin,4/1/2019,78,1/8/2021,10,2/29/2020
Pigs (Three Different Ones),11:26,Pink Floyd,1/10/2020,78,1/10/2021,20,2/21/2021
Ambush In The Night (1979),3:14,Bob Marley & The Wailers,8/2/2020,77,1/1/2021,2,10/19/2020
The Ghetto,4:57,George Benson,6/21/2020,75,7/19/2020,16,1/8/2021
Custard Pie,4:11,Led Zeppelin,4/1/2019,75,12/22/2020,12,2/18/2021
Waiting In Vain,4:19,Bob Marley,4/3/2019,74,1/8/2021,5,12/9/2020
Soulful Strut,5:38,George Benson,6/11/2020,74,2/18/2021,8,12/28/2020
In My Time Of Dying,11:06,Led Zeppelin,4/1/2019,74,12/28/2020,12,10/1/2019
Punky Reggae Party,6:52,Bob Marley,4/3/2019,72,1/10/2021,4,12/5/2020
I Shot The Sheriff (Live),8:29,Eric Clapton,4/4/2019,72,11/22/2020,4,12/12/2020
Doin' It,8:03,Herbie Hancock,6/21/2020,71,2/17/2021,1,11/13/2020
I Want To Break Free,4:31,Queen,1/26/2019,71,1/3/2021,3,7/12/2019
Tumbling Dice,3:48,The Rolling Stones,5/23/2020,71,12/16/2020,10,1/11/2021
Johnny B. Goode (long version),6:55,Peter Tosh,8/4/2019,68,2/21/2021,7,12/19/2020
D'yer Mak'er,4:24,Led Zeppelin,4/1/2019,66,1/8/2021,14,11/14/2020
No Quarter,7:02,Led Zeppelin,4/1/2019,65,1/2/2021,4,1/8/2021
Any Colour You Like,3:26,Pink Floyd,1/8/2020,64,12/14/2020,3,11/25/2020
Sweet Emotion,4:29,Aerosmith,1/26/2019,63,12/22/2020,13,12/28/2020
Nasty Dogs and Funky Kings (2005 Remaster),2:42,ZZ Top,3/11/2020,63,2/18/2021,9,2/21/2021
Roots Rock Reggae,3:33,Bob Marley,4/3/2019,62,12/28/2020,8,11/15/2020
The Thrill Is Gone,5:07,B. B. King & Eric Clapton,9/11/2019,59,1/8/2021,3,12/28/2020
Pimper's Paradise (1991),3:28,Bob Marley & The Wailers,8/2/2020,59,12/28/2020,8,12/19/2020
Sun Is Shining,5:00,Bob Marley,4/3/2019,58,12/26/2020,7,10/31/2020
We almost Lost Detroit,5:17,Gil Scott Heron,6/4/2020,58,2/17/2021,6,12/2/2020
Brawling Broad,2:43,Roy Ayers,7/14/2020,58,2/17/2021,8,12/23/2020
Wanton Song,4:07,Led Zeppelin,4/1/2019,57,12/18/2020,13,12/28/2020
Warning (feat. Stick Figure),3:52,Pepper,5/27/2020,57,12/22/2020,13,11/13/2020
Another Brick In The Wall (Part 3),1:15,Pink Floyd,1/10/2020,57,12/12/2020,7,11/25/2020
Over The Hills And Far Away,5:08,Led Zeppelin,4/1/2019,56,12/20/2020,12,1/3/2021
Trampled Under Foot (live),9:01,Led Zeppelin,5/29/2019,56,12/14/2020,27,1/8/2021
The Happiest Days Of Our Lives,1:51,Pink Floyd,1/10/2020,56,12/10/2020,40,12/28/2020
I Can Sho' Give Your Love,5:08,Willie Hutch,6/28/2020,56,12/10/2020,3,1/3/2021
Just Got Paid,3:48,ZZ Top,3/11/2020,56,12/28/2020,3,1/8/2021
Try and Love Again (Eagles 2013 Remaster),5:11,Eagles,2/6/2019,55,12/7/2020,5,1/1/2021
Hot Stepper,4:37,Gregory Isaacs,11/1/2019,55,2/17/2021,2,11/29/2020
We And Dem (1991),3:13,Bob Marley & The Wailers,8/2/2020,54,2/18/2021,3,12/3/2020
Feeling Alright,4:25,Rebelution,8/4/2019,52,12/11/2020,18,2/17/2021
Jah Live,4:16,Bob Marley,5/9/2019,51,2/21/2021,2,6/9/2020
Hotel California,6:30,Eagles,1/26/2019,51,12/20/2020,3,12/5/2020
Bring It On Home,9:30,Led Zeppelin,4/1/2019,51,11/25/2020,11,12/28/2020
Me and Mrs. Jones,4:48,Billy Paul,6/28/2020,50,12/9/2020,6,12/12/2020
Steppin' Out (BBC Sessions),3:37,Cream,4/4/2019,49,2/17/2021,11,12/15/2020
Waitin' for the Bus (2006 Remaster),2:53,ZZ Top,3/11/2020,49,2/21/2021,1,3/12/2020
Night Moves,5:26,Bob Seger & The Silver Bullet Band,1/26/2019,48,1/8/2021,8,12/19/2020
Count Me In (Live Acoustic) Sugarshack Sessions,5:09,Rebelution,6/1/2020,48,6/19/2020,16,1/10/2021
Driftin' Blues,6:58,Eric Clapton,9/11/2019,47,12/21/2020,3,3/14/2020
Bubbles,3:20,Wah Wah Watson,7/26/2020,47,1/10/2021,3,12/9/2020
Mister Magic,9:02,"Grover Washington, Jr",6/4/2020,46,2/18/2021,4,12/19/2020
Whole Lotta Love,5:35,Led Zeppelin,4/1/2019,46,11/16/2020,10,1/9/2021
Stop,0:31,Pink Floyd,1/10/2020,46,11/14/2020,16,1/10/2021
Hots On For Nowhere,4:42,Led Zeppelin,4/1/2019,45,11/22/2020,6,1/10/2021
Cheap Sunglasses,4:49,ZZ Top,1/26/2019,45,2/17/2021,10,10/28/2020
Doolin' Dalton,3:27,Eagles,1/26/2019,44,12/26/2020,8,1/3/2021
All I Do (Instrumental),5:01,J Dilla,6/7/2020,44,2/12/2021,3,12/10/2020
"Shine on You Crazy Diamond, Pts. 1-5",13:22,Pink Floyd,1/26/2019,44,12/20/2020,29,12/26/2020
Dreaming About You,5:53,The Blackbyrds,6/4/2020,43,1/10/2021,14,12/22/2020
California Dreamin',6:17,Eddie Hazel,6/9/2020,43,1/1/2021,4,12/2/2020
B Minor Jam,7:15,Eric Clapton,9/11/2019,43,2/17/2021,7,12/12/2020
Down By The Seaside,5:15,Led Zeppelin,4/1/2019,43,12/28/2020,5,12/14/2020
